1349357160	149
1349443560	149
1349875560	157
1350048360	157
1350134760	157
1350221160	157
1350393960	166
1351085160	170
1351517160	170
1351603560	170
1351689960	172
1351862760	172
1351949160	172
1352294760	176
1352899560	182
1353417960	188
1354109160	197
1380893160	91
1380979560	91
1381411560	94
1381584360	94
1381670760	94
1381757160	94
1381929960	99
1382621160	103
1383053160	103
1383139560	103
1383225960	110
1383398760	110
1383485160	110
1383830760	116
1384435560	119
1384953960	123
1385645160	123
